country;rate
Austria;4.3
Armenia;17.3
Belgium;7.6
Bosnia;28
Bulgaria;12.3
Belarus;0.5
Canada;7.2
Croatia;15.9
Cyprus;11.9
Czech;7
Denmark;7.5
Estonia;10.2
Finland;7.7
France;10.2
Germany;5.5
Greece;24.3
Hungary;10.9
Iceland;6
Ireland;14.7
Israel;6.6
Italy;10.7
Kazakhstan;5.3
Latvia;15
Lithuania;13.4
Luxembourg;5.1
Macedonia;6.4
Malta;5.6
Moldova;19.6
Montenegro;5.3
Netherlands;3.2
Norway;10.1
Poland;15.9
Portugal;7
Romania;5.5
Serbia;14
Slovakia;8.9
Slovenia;25
Spain;8
Sweden;4.2
Tajikistan;8.1
Turkmenistan;7.5
UK;7.9
US;8.1
